"fid","objeto_codigo","planta","tema","subtema","objeto_designacao","etiqueta","geometria","observacoes"
"44","27","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Distribuidora",,"polígono, linha",
"45","28","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Distribuidora Prevista",,"polígono, linha",
"46","29","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia de Acesso Local",,"polígono, linha",
"47","30","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia de Acesso Local Prevista",,"polígono, linha",
"48","31","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Nó Rodoviário",,"ponto",
"49","32","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Nó Rodoviário Previsto",,"ponto",
"50","33","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estação ou Interface de Transporte",,"ponto",
"51","34","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estação ou Interface de Transporte Prevista",,"ponto",
"52","35","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Via-Férrea",,"polígono, linha",
"53","36","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Via-Férrea Prevista",,"polígono, linha",
"54","146","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estacionamento",,"ponto",
"55","147","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estacionamento Previsto",,"ponto",
"56","37","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Infraestrutura de Transporte Aéreo",,"ponto",
"57","38","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Infraestrutura de Transporte Aéreo Prevista",,"ponto",
"58","39","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Porto",,"ponto",
"59","40","Ordenamento","Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Porto Previsto",,"ponto",
"60","41","Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Água","Captação, Tratamento ou Armazenamento de Água",,"ponto",
"61","42","Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Água","Captação, Tratamento ou Armazenamento de Água Prevista",,"ponto",
"62","169","Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Água","Nascente",,"ponto",
"63","45","Ordenamento","Sistemas Estruturantes","Infraestruturas de Drenagem de Águas Residuais e Pluviais","Bombagem ou Tratamento de Águas Residuais e Pluviais",,"ponto",
"64","46","Ordenamento","Sistemas Estruturantes","Infraestruturas de Drenagem de Águas Residuais e Pluviais","Bombagem ou Tratamento de Águas Residuais e Pluviais Prevista",,"ponto",
"65","47","Ordenamento","Sistemas Estruturantes","Infraestruturas de Recolha e Tratamento de Resíduos Sólidos","Estação de Tratamento de Resíduos Sólidos",,"ponto",
"66","48","Ordenamento","Sistemas Estruturantes","Infraestruturas de Recolha e Tratamento de Resíduos Sólidos","Estação de Tratamento de Resíduos Sólidos Prevista",,"ponto",
"67","49","Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Energia Elétrica","Infraestrutura de Produção ou Transformação de Energia Elétrica",,"ponto",
"68","50","Ordenamento","Sistemas Estruturantes","Infraestruturas de Abastecimento de Energia Elétrica","Infraestrutura de Produção ou Transformação de Energia Elétrica Prevista",,"ponto",
"69","1","Condicionantes","Área de Intervenção do Plano","Área de Intervenção do Plano","Área de Intervenção do Plano",,"polígono",
"70","53","Condicionantes","Recursos Hídricos","Domínio Público Hídrico","Águas do Mar - Leito",,"polígono",
"71","54","Condicionantes","Recursos Hídricos","Domínio Público Hídrico","Águas Fluviais - Leito",,"polígono, linha",
"72","55","Condicionantes","Recursos Hídricos","Domínio Público Hídrico","Zona Contígua à Margem",,"polígono",
"73","56","Condicionantes","Recursos Hídricos","Domínio Público Hídrico","Zona Adjacente",,"polígono",
"74","153","Condicionantes","Recursos Hídricos","Domínio Público Hídrico","Águas do Mar - Margem",,"polígono",
"75","154","Condicionantes","Recursos Hídricos","Domínio Público Hídrico","Águas Fluviais - Margem",,"polígono",
"76","57","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Albufeira Classificada - Leito","AlbL","polígono",
"77","155","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Albufeira Classificada - Margem","AlbM","polígono",
"78","58","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Lago ou Lagoa Classificada - Leito","LagL","polígono",
"79","156","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Lago ou Lagoa Classificada - Margem","LagM","polígono",
"80","59","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Zona Terrestre de Proteção",,"polígono",
"81","60","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Zona Reservada da Zona Terrestre de Proteção",,"polígono",
"82","61","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Zona de Proteção da Barragem",,"polígono",
"83","62","Condicionantes","Recursos Hídricos","Albufeiras, Lagos ou Lagoas de Águas Públicas","Zona de Respeito da Barragem",,"polígono",
"84","63","Condicionantes","Recursos Geológicos","Captações de Águas Subterrâneas para Abastecimento Público","Perímetro de Proteção de Captação de Água Subterrânea",,"polígono",
"85","64","Condicionantes","Recursos Geológicos","Águas de Nascente","Perímetro de Proteção de Águas da Nascente",,"polígono",
"86","65","Condicionantes","Recursos Geológicos","Águas Minerais Naturais","Perímetro de Proteção de Águas Minerais Naturais",,"polígono",
"87","66","Condicionantes","Recursos Geológicos","Pedreiras","Zona de Defesa / Zona Especial de Defesa",,"polígono",
"88","67","Condicionantes","Recursos Geológicos","Pedreiras","Área Cativa / Área de Reserva",,"polígono",
"89","142","Condicionantes","Recursos Geológicos","Recursos Geológicos","Área de Servidão de Recurso Geológico",,"polígono",
"90","68","Condicionantes","Recursos Agrícolas e Florestais","Reserva Agrícola Nacional","Reserva Agrícola Nacional",,"polígono",
"91","69","Condicionantes","Recursos Agrícolas e Florestais","Reserva Agrícola Nacional","Área Excluída da Reserva Agrícola Nacional",,"polígono",
"92","70","Condicionantes","Recursos Agrícolas e Florestais","Obras de Aproveitamento Hidroagrícola","Perímetro Hidroagrícola",,"polígono",
"93","71","Condicionantes","Recursos Agrícolas e Florestais","Oliveiras","Povoamento de Oliveiras",,"polígono",
"94","72","Condicionantes","Recursos Agrícolas e Florestais","Sobreiros ou Azinheiras","Povoamento de Sobreiros ou Azinheiras",,"polígono",
"95","73","Condicionantes","Recursos Agrícolas e Florestais","Sobreiros ou Azinheiras","Área onde tenham ocorrido incêndios, Depreciação do Arvoredo ou Abates Ilegais",,"polígono",
"96","74","Condicionantes","Recursos Agrícolas e Florestais","Azevinho","Povoamento de Azevinho",,"polígono",
"97","75","Condicionantes","Recursos Agrícolas e Florestais","Regime Florestal","Regime Florestal Total",,"polígono",
"98","76","Condicionantes","Recursos Agrícolas e Florestais","Regime Florestal","Regime Florestal Parcial",,"polígono",
"99","78","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Classe de Risco de Incêndio (alta e/ou muito alta)",,"polígono",
"100","79","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Zona critica",,"polígono",
"101","80","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Redes de Faixas de Gestão de Combustível (rede primária e/ou secundária)",,"polígono, linha",
"102","165","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Áreas Estratégicas de Mosaicos de Gestão de Combustíveis",,"polígono",
"103","166","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Áreas Prioritárias de Prevenção e Segurança",,"polígono",
"104","167","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Rede de Pontos de Água",,"ponto",
"105","168","Condicionantes","Recursos Agrícolas e Florestais","Proteção ao Risco de Incêndio","Rede Nacional de Postos de Vigia",,"ponto",
"106","81","Condicionantes","Recursos Agrícolas e Florestais","Árvores e Arvoredo de Interesse Público","Árvore ou Arvoredo de Interesse Público",,"polígono, ponto",
"107","148","Condicionantes","Recursos Ecológicos","Reserva Ecológica Nacional","Reserva Ecológica Nacional",,"polígono, linha",
"108","82","Condicionantes","Recursos Ecológicos","Reserva Ecológica Nacional","Área Excluída da Reserva Ecológica Nacional",,"polígono",
"109","83","Condicionantes","Recursos Ecológicos","Áreas Protegidas","Parque Nacional",,"polígono",
"110","84","Condicionantes","Recursos Ecológicos","Áreas Protegidas","Parque Natural",,"polígono",
"111","85","Condicionantes","Recursos Ecológicos","Áreas Protegidas","Reserva Natural",,"polígono",
"112","86","Condicionantes","Recursos Ecológicos","Áreas Protegidas","Monumento Natural",,"polígono, ponto",
"113","87","Condicionantes","Recursos Ecológicos","Áreas Protegidas","Paisagem Protegida (de interesse regional ou local)",,"polígono, ponto",
"114","88","Condicionantes","Recursos Ecológicos","Rede Natura 2000","Sítio da Lista Nacional",,"polígono",
"115","89","Condicionantes","Recursos Ecológicos","Rede Natura 2000","Zona Especial de Conservação",,"polígono",
"116","90","Condicionantes","Recursos Ecológicos","Rede Natura 2000","Zona de Proteção Especial",,"polígono",
"117","141","Condicionantes","Património","Património Arqueológico","Parque Arqueológico","PA","polígono, ponto",
"118","91","Condicionantes","Património","Imóveis Classificados","Monumento Nacional","MN","polígono, ponto",
"119","92","Condicionantes","Património","Imóveis Classificados","Imóvel de Interesse Público","IP","polígono, ponto",
"120","93","Condicionantes","Património","Imóveis Classificados","Imóvel de Interesse Municipal","IM","polígono, ponto",
"121","94","Condicionantes","Património","Imóveis Classificados","Imóvel em Vias de Classificação","VC","polígono, ponto",
"122","95","Condicionantes","Património","Imóveis Classificados","Zona Geral de Proteção","ZGP","polígono",
"123","96","Condicionantes","Património","Imóveis Classificados","Zona Especial de Proteção Provisória","ZEP","polígono",
"124","97","Condicionantes","Património","Imóveis Classificados","Zona Especial de Proteção","ZEP","polígono",
"125","159","Condicionantes","Património","Imóveis Classificados","Sítio de Interesse Público","SIP","polígono",
"126","160","Condicionantes","Património","Imóveis Classificados","Sítio de Interesse Municipal","SIM","polígono",
"127","161","Condicionantes","Património","Imóveis Classificados","Monumento de Interesse Público","MIP","polígono, ponto",
"128","162","Condicionantes","Património","Imóveis Classificados","Monumento de Interesse Municipal","MIM","polígono, ponto",
"129","163","Condicionantes","Património","Imóveis Classificados","Conjunto de Interesse Público","CIP","polígono",
"130","164","Condicionantes","Património","Imóveis Classificados","Conjunto de Interesse Municipal","CIM","polígono",
"131","171","Condicionantes","Património","Imóveis Classificados","Zona ""non aedificandi""","ZNA","polígono",
"132","98","Condicionantes","Património","Edifícios Públicos e Outras Construções","Zona de Proteção de Edifício Público ou de Outra Construção",,"polígono",
"133","99","Condicionantes","Equipamentos","Estabelecimentos Prisionais e Tutelares de Menores","Zona de Proteção de Estabelecimento Prisional ou Tutelar de Menores",,"polígono",
"134","100","Condicionantes","Equipamentos","Instalações Aduaneiras","Área de Jurisdição de Alfândega",,"polígono",
"135","101","Condicionantes","Equipamentos","Defesa Nacional","Zona de Servidão Militar",,"polígono, ponto",
"136","41","Condicionantes","Infraestruturas","Abastecimento de Água","Captação, Tratamento ou Armazenamento de Água",,"ponto",
"137","43","Condicionantes","Infraestruturas","Abastecimento de Água","Conduta Adutora",,"polígono, linha",
"138","102","Condicionantes","Infraestruturas","Abastecimento de Água","Zona de Servidão de Abastecimento de Água",,"polígono",
"139","44","Condicionantes","Infraestruturas","Drenagem de Águas Residuais e Pluviais","Coletor de Águas Residuais e Pluviais",,"polígono, linha",
"140","45","Condicionantes","Infraestruturas","Drenagem de Águas Residuais e Pluviais","Bombagem ou Tratamento de Águas Residuais e Pluviais",,"ponto",
"141","103","Condicionantes","Infraestruturas","Drenagem de Águas Residuais e Pluviais","Zona de Servidão de Drenagem de Águas Residuais e Pluviais",,"polígono",
"142","47","Condicionantes","Infraestruturas","Drenagem de Águas Residuais e Pluviais","Estação de Tratamento de Resíduos Sólidos",,"ponto",
"143","49","Condicionantes","Infraestruturas","Rede Elétrica","Infraestrutura de Produção ou Transformação de Energia Elétrica",,"ponto",
"144","51","Condicionantes","Infraestruturas","Rede Elétrica","Infraestrutura de Transporte de Energia Elétrica",,"polígono, linha",
"145","104","Condicionantes","Infraestruturas","Rede Elétrica","Zona de Servidão de Rede Elétrica",,"polígono",
"146","52","Condicionantes","Infraestruturas","Gasodutos e Oleodutos","Gasoduto ou Oleoduto",,"polígono, linha",
"147","137","Condicionantes","Infraestruturas","Gasodutos e Oleodutos","Infraestrutura Associada a Gasoduto ou Oleoduto",,"ponto",
"148","105","Condicionantes","Infraestruturas","Gasodutos e Oleodutos","Zona de Servidão de Gasoduto ou Oleoduto",,"polígono",
"149","106","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Itinerário Principal",,"polígono, linha",
"150","107","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Itinerário Principal Autoestrada",,"polígono, linha",
"151","108","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Itinerário Complementar",,"polígono, linha",
"152","109","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Itinerário Complementar Autoestrada",,"polígono, linha",
"153","110","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Estrada Nacional",,"polígono, linha",
"154","111","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Estrada Regional",,"polígono, linha",
"155","143","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Estrada em Projeto",,"polígono, linha",
"156","112","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Zona de Servidão de Estrada do Plano Rodoviário Nacional",,"polígono",
"157","144","Condicionantes","Infraestruturas","Rede Rodoviária Nacional e Regional","Zona de Respeito de Estrada do Plano Rodoviário Nacional",,"polígono",
"158","113","Condicionantes","Infraestruturas","Estradas Nacionais Desclassificadas","Estradas Nacionais Desclassificadas",,"polígono, linha",
"159","114","Condicionantes","Infraestruturas","Estradas Nacionais Desclassificadas","Zona de Servidão de Estrada Nacional Desclassificada",,"polígono",
"160","115","Condicionantes","Infraestruturas","Estradas e Caminhos Municipais","Estrada Municipal",,"polígono, linha",
"161","116","Condicionantes","Infraestruturas","Estradas e Caminhos Municipais","Caminho Municipal",,"polígono, linha",
"162","117","Condicionantes","Infraestruturas","Estradas e Caminhos Municipais","Zona de Servidão de Estrada ou Caminho Municipal",,"polígono",
"163","35","Condicionantes","Infraestruturas","Rede Ferroviária","Via-Férrea",,"polígono, linha",
"164","118","Condicionantes","Infraestruturas","Rede Ferroviária","Zona de Servidão de Via-Férrea",,"polígono",
"165","119","Condicionantes","Infraestruturas","Aeroportos e Aeródromos","Zona de Servidão Aeronáutica",,"polígono",
"166","120","Condicionantes","Infraestruturas","Telecomunicações","Zona de Servidão Radioelétrica",,"polígono",
"167","121","Condicionantes","Infraestruturas","Faróis e Outros Sinais Marítimos","Farol ou Outro Sinal Marítimo",,"ponto",
"168","122","Condicionantes","Infraestruturas","Faróis e Outros Sinais Marítimos","Zona de Servidão de Sinalização Marítima",,"polígono",
"169","123","Condicionantes","Infraestruturas","Rede Geodésica","Zona de Proteção da Rede Geodésica",,"polígono",
"170","124","Condicionantes","Infraestruturas","Rede Geodésica","Marco Geodésico",,"ponto",
"171","125","Condicionantes","Atividades Perigosas","Substâncias Perigosas","Estabelecimento com Produtos Explosivos",,"ponto",
"172","126","Condicionantes","Atividades Perigosas","Substâncias Perigosas","Zona de Segurança de Estabelecimento com Produtos Explosivos",,"polígono",
"173","127","Condicionantes","Atividades Perigosas","Substâncias Perigosas","Estabelecimento com Substâncias Perigosas",,"ponto",
"174","128","Condicionantes","Atividades Perigosas","Substâncias Perigosas","Zona de Segurança de Estabelecimento com Substâncias Perigosas",,"polígono",
"175","157","Condicionantes","Atividades Perigosas","Substâncias Perigosas","Estabelecimento com Substâncias Perigosas - Zona de perigosidade 1",,"polígono",
"176","158","Condicionantes","Atividades Perigosas","Substâncias Perigosas","Estabelecimento com Substâncias Perigosas - Zona de perigosidade 2",,"polígono",
